date,gold_close,silver_close,ratio_close,gold_open,gold_high,gold_low,silver_open,silver_high,silver_low
2026-02-17,4869.47,74.9,65.01,4877.14,4937.31,4836.53,74.61,75.48,73.68
2026-02-18,4943.7,75.01,65.91,4966.82,4975.07,4933.34,74.8,76.12,73.98
2026-02-19,4897.12,74.18,66.02,4920.59,4939.61,4845.67,74.46,75.02,73.97
2026-02-20,4945.47,74.88,66.05,4947.36,4999.58,4892.01,74.81,75.03,74.1
2026-02-21,4906.16,74.3,66.03,4913.58,4966.62,4877.4,74.32,74.76,73.9
2026-02-22,4990.52,73.53,67.87,5013.63,5078.28,4929.29,73.81,74.22,73.3
2026-02-23,4916.0,72.33,67.97,4903.89,4982.27,4877.86,72.44,72.89,71.87
2026-02-24,4875.08,71.68,68.01,4870.29,4901.53,4835.24,71.96,72.92,70.89
2026-02-25,4778.8,70.04,68.23,4792.31,4848.98,4724.23,70.35,70.63,69.22
2026-02-26,4837.02,70.72,68.39,4817.47,4864.74,4780.2,70.52,71.65,69.48
2026-02-27,4817.43,70.41,68.42,4812.97,4867.84,4777.86,70.18,71.15,69.75
2026-02-28,4795.19,69.14,69.36,4804.14,4821.4,4726.64,69.17,69.48,68.36
2026-03-01,4806.32,67.76,70.93,4785.91,4856.94,4778.25,67.55,68.54,66.94
2026-03-02,4717.49,66.29,71.16,4738.26,4755.34,4707.23,66.61,66.71,66.14
2026-03-03,4758.93,66.93,71.11,4771.74,4834.34,4725.42,66.84,67.82,66.04
2026-03-04,4798.33,68.25,70.31,4778.31,4832.28,4763.69,68.54,69.08,67.26
2026-03-05,4716.23,66.85,70.55,4738.25,4763.63,4687.66,66.86,67.44,66.56
2026-03-06,4762.5,68.02,70.01,4739.45,4831.61,4730.18,67.76,68.85,67.28
2026-03-07,4809.3,68.75,69.95,4806.42,4862.49,4787.41,68.48,69.69,68.2
2026-03-08,4760.63,67.98,70.03,4766.23,4836.0,4693.08,67.81,68.21,67.42
2026-03-09,4688.91,67.26,69.71,4704.21,4740.76,4620.04,67.35,68.32,66.38
2026-03-10,4767.21,68.48,69.61,4756.34,4802.32,4726.74,68.22,69.03,67.98
2026-03-11,4677.65,68.91,67.88,4671.31,4743.6,4620.2,69.18,69.9,68.42
2026-03-12,4764.13,70.04,68.02,4753.22,4799.64,4704.85,70.04,70.15,69.83
2026-03-13,4826.27,70.82,68.15,4839.25,4853.0,4799.77,70.76,71.56,69.79
2026-03-14,4830.36,71.41,67.65,4849.51,4875.33,4793.56,71.45,71.97,71.28
2026-03-15,4908.19,72.83,67.39,4918.37,4926.24,4836.97,72.79,73.62,72.65
2026-03-16,4881.76,72.51,67.32,4893.06,4919.6,4867.73,72.61,73.22,71.87
2026-03-17,4850.16,72.83,66.6,4873.24,4925.19,4800.52,72.96,73.68,72.56
2026-03-18,4903.05,71.41,68.66,4917.16,4923.92,4891.88,71.23,72.39,70.66
2026-03-19,4932.7,70.21,70.25,4938.92,4968.3,4891.19,70.37,71.0,69.84
2026-03-20,4928.12,70.16,70.25,4947.21,4955.99,4881.58,69.83,70.56,69.27
2026-03-21,4950.36,71.09,69.63,4947.13,4974.19,4877.19,71.01,71.22,70.38
2026-03-22,4975.05,71.45,69.63,4966.35,4994.01,4909.76,71.36,72.29,70.87
2026-03-23,4876.97,69.97,69.7,4891.31,4964.13,4816.78,70.11,70.88,69.18
2026-03-24,4873.61,69.92,69.7,4895.66,4923.98,4827.1,69.76,70.64,69.27
2026-03-25,4947.13,71.13,69.55,4924.57,4978.35,4907.05,70.88,71.42,70.07
2026-03-26,4987.53,69.77,71.49,5002.68,5051.12,4961.37,70.1,71.15,68.78
2026-03-27,4995.94,69.91,71.47,5005.37,5019.25,4974.01,70.05,70.85,69.81
2026-05-18,4549.2,76.77,59.26,4552.5,4581.6,4534.3,76.33,78.15,75.7
2026-05-19,4495.0,74.22,60.56,4546.0,4546.0,4477.5,76.45,76.45,73.51
2026-05-20,4490.2,75.68,59.33,4484.8,4490.2,4484.8,75.56,75.68,75.56
